sequence_id,district,forecast_origin,wsi_at_origin,residual_t1,residual_t2,residual_t3,split
585,Dharashiv,2011-06-01,-0.3509467200788843,-0.2327553077188147,-0.7843226833787573,-0.13940778808266052,train
586,Dharashiv,2011-07-01,-0.5837020522519478,-0.5515673512056938,0.09334754409040302,0.4069101160928139,train
587,Dharashiv,2011-08-01,-1.1352693649762438,0.644914856814699,0.9584774288171098,1.3026898416512773,train
588,Dharashiv,2011-09-01,-0.4903545201670758,0.3135625840079419,0.6577749968421094,0.4437076979231469,train
589,Dharashiv,2011-10-01,-0.1767919424658131,0.34421241914084666,0.13014512022188418,0.09445946549227946,train
590,Dharashiv,2011-11-01,0.1674204828065755,-0.21406730505050442,-0.24975295978010914,-0.2591173412126424,train
591,Dharashiv,2011-12-01,-0.0466468217043109,-0.03568565526922273,-0.045050036701755995,0.12550335696021986,train
592,Dharashiv,2012-01-01,-0.082332480182397,-0.009364378223669895,0.16118901543830597,-0.11282963729883469,train
593,Dharashiv,2012-02-01,-0.0916968600540106,0.1705533953099196,-0.10346525742722108,0.28429685697841095,train
594,Dharashiv,2012-03-01,0.0788565357523591,-0.27401865323359076,0.11374346117204123,0.6126732150716155,train
595,Dharashiv,2012-04-01,-0.1951621176293549,0.3877621145537552,0.8866918684533295,0.491656005530661,train
596,Dharashiv,2012-05-01,0.1925999916177864,0.4989297592061882,0.10389389628351975,0.5982434951681023,train
597,Dharashiv,2012-06-01,0.691529730481915,-0.39503584258060886,0.09931375630397365,0.4426516497899966,train
598,Dharashiv,2012-07-01,0.2964938919560717,0.494349594829817,0.83768748831584,1.0437834222300246,train
599,Dharashiv,2012-08-01,0.7908435078625305,0.3433378724093811,0.5494338063235656,0.38156209268526,train
600,Dharashiv,2012-09-01,1.1341813613093616,0.20609595287673455,0.03822423923842888,0.03434421528213005,train
601,Dharashiv,2012-10-01,1.3402773340037937,-0.16787173345600315,-0.17175175741230198,-0.20997311666523166,train
602,Dharashiv,2012-11-01,1.1724055888997371,-0.0038800123082454174,-0.042101371561175105,0.0693420288218205,train
603,Dharashiv,2012-12-01,1.168525610870388,-0.038221393531826076,0.07322200685116953,-0.0757392987671166,train
604,Dharashiv,2013-01-01,1.1303042310050333,0.11144338671652432,-0.037517918901761815,-0.5681947606376017,train
605,Dharashiv,2013-02-01,1.241747627303319,-0.14896131520004752,-0.6796381569358874,-0.7700969076606798,train
606,Dharashiv,2013-03-01,1.0927862924129423,-0.5306768220455107,-0.6211355727703032,-1.3840753537208494,train
607,Dharashiv,2013-04-01,0.5621094475257556,-0.09045872788311649,-0.8533985088336628,-0.8994110594260852,train
608,Dharashiv,2013-05-01,0.4716507060591981,-0.7629397673671052,-0.8089523179595277,-0.9564788801734254,train
609,Dharashiv,2013-06-01,-0.2912890494324964,-0.046012562467833196,-0.1935391246817309,-0.13440008158900324,train
