stream,district,date,value,clim_median,robust_z,temporal_diff,lower_iqr,upper_iqr,classification
CHIRPS,Chhatrapati Sambhajinagar,2003-01,5.9762,1.9777,9.38,3.4631,-0.2415,4.9808,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,2003-02,1.8958,0.9223,4.47,1.0954,-0.131,2.3169,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,2003-04,4.2015,0.2832,9.33,3.2246,-5.8843,9.8071,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,2004-04,1.7818,0.2832,3.57,18.6828,-5.8843,9.8071,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,2004-05,40.9219,6.5935,5.16,0.9754,-18.4345,38.1964,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,2005-03,4.4071,0.1758,16.85,0.0386,-5.5096,9.2021,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,2005-04,7.9327,0.2832,18.22,4.2232,-5.8843,9.8071,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,2005-07,349.4665,190.528,2.57,254.237,41.8115,346.5357,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,2006-03,8.0971,0.1758,31.54,7.711,-5.5096,9.2021,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,2006-05,61.0338,6.5935,8.18,23.7442,-18.4345,38.1964,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,2006-11,30.889,8.5443,4.28,8.1934,-17.247,44.8021,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,2007-12,6.8058,3.6045,3.71,1.6586,-5.7516,17.9554,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,2008-03,3.7206,0.1758,14.11,2.4129,-5.5096,9.2021,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,2008-04,1.8364,0.2832,3.7,0.8138,-5.8843,9.8071,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,2008-12,15.6551,3.6045,13.97,11.3388,-5.7516,17.9554,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,2009-03,6.7309,0.1758,26.1,5.6282,-5.5096,9.2021,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,2009-11,142.2415,8.5443,25.64,107.1737,-17.247,44.8021,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,2010-02,2.3497,0.9223,6.56,0.7213,-0.131,2.3169,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,2010-03,3.8729,0.1758,14.72,0.4431,-5.5096,9.2021,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,2010-04,6.2822,0.2832,14.29,0.9083,-5.8843,9.8071,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,2010-11,83.778,8.5443,14.43,27.7895,-17.247,44.8021,Statistical Outlier / Seasonal Extreme
