district,date,year,month,split,spi_stress_z,soil_stress_z,ndvi_stress_z,lst_stress_z,groundwater_stress_z,surface_water_stress_z,groundwater_stale_flag,months_since_last_gw_obs,ndvi_imputed,lst_imputed,wsi,wsi_category
Beed,2006-04-01,2006,4,train,0.09458691028033533,0.16691800101173487,-0.005044363323480942,-0.11243425542659606,-0.8642544043716551,-0.08046161553437164,0,1,0,0,-0.13344828789400562,Normal
Beed,2006-05-01,2006,5,train,-1.5097529099810891,0.1215454102553352,-0.3157868032444029,-0.41524429628619525,0.15844055437367444,-0.04224205267392258,0,0,0,0,-0.3338400162594333,Normal
Beed,2006-06-01,2006,6,train,-0.8532960052817342,-0.019925747968944,-0.6798211909470154,-0.09259074811141958,0.15844055437367444,0.20594675074395194,0,1,0,0,-0.2135410645319145,Normal
Beed,2006-07-01,2006,7,train,-0.6626117068987456,-0.44858504806528987,-2.5675076454056747,-1.7734791231914582,0.15844055437367444,-1.6654053368975439,0,2,0,0,-1.159858051014173,Wet
Beed,2006-08-01,2006,8,train,-0.6877508875900913,-1.288003963716701,1.7929703893740208,-0.3678831678818971,0.15844055437367444,-2.9147961886197242,0,3,0,0,-0.5511705440101197,Wet
Beed,2006-09-01,2006,9,train,-1.181174316394355,-0.6830836628226656,0.14609863869564313,0.07440878196845783,-0.8847398195699447,-2.52432313484569,0,0,0,0,-0.8421355854947591,Wet
Beed,2006-10-01,2006,10,train,-1.0745921825503226,-1.0266371701864252,-0.28324191682778266,-0.10474203946505191,-0.3935400837164759,-1.6457183813657772,0,0,0,0,-0.7547452956853059,Wet
Beed,2006-11-01,2006,11,train,-0.7549200058568805,-0.8638109204852749,-0.05059630419125824,-0.5430053572836737,-0.3935400837164759,-1.1453301039814285,0,1,0,0,-0.625200462585832,Wet
Beed,2006-12-01,2006,12,train,0.4215353587827357,-0.6741359808060076,0.23262561386596922,-0.18402349196115175,-0.3935400837164759,-1.0463043630787008,0,2,0,0,-0.2739738244856052,Normal
Beed,2007-01-01,2007,1,train,-0.554105033860896,-0.6465446717730173,-0.21439944277950448,-0.017215970861184014,-1.0108039130978743,-1.3270394822155918,0,0,0,0,-0.6283514190980113,Wet
Beed,2007-02-01,2007,2,train,1.1514967595691912,-0.573156686789272,-0.012043580089565046,-0.5568413222612306,-1.0108039130978743,-0.7927496134062184,0,1,0,0,-0.2990163926791615,Normal
Beed,2007-03-01,2007,3,train,1.1473689863099583,-0.4353502500030963,0.10015055446363177,-0.30986211798947244,-1.3369947551013919,-0.3871045632838095,0,0,0,0,-0.20363202426736335,Normal
Beed,2007-04-01,2007,4,train,1.8684668714193706,-0.4112032549465339,-0.10407717822020174,-0.04425614627684147,-1.3369947551013919,0.1872447339520193,0,1,0,0,0.026530045137736852,Normal
Beed,2007-05-01,2007,5,train,1.9571605377339572,-0.3848760993535664,-0.4199347791888227,0.25103299047969296,-0.8883416508136001,0.5478938426839357,0,0,0,0,0.17715580692359945,Normal
Beed,2007-06-01,2007,6,train,-0.4099835968878557,-0.611658563191057,-0.6015374335608351,-0.9483413208033287,-0.8883416508136001,0.2989052690093149,0,1,0,0,-0.5268262160412269,Wet
Beed,2007-07-01,2007,7,train,-0.9077742727862578,-0.8439204745821162,-1.5719381853384446,-0.643973847061613,-0.8883416508136001,-0.6290921923957009,0,2,0,0,-0.9141734371629554,Wet
Beed,2007-08-01,2007,8,train,-1.2124633364789388,-0.1369867881998979,0.2680238664483145,0.5117724848874794,-0.8883416508136001,-1.0688633999758168,0,3,0,0,-0.4211431373554099,Normal
Beed,2007-09-01,2007,9,train,-1.2371195723623634,-0.16494044635578245,0.13633422346458104,-0.4090416266961033,-0.8847398195699447,-0.9995788692610623,0,0,0,0,-0.5931810184634458,Wet
Beed,2007-10-01,2007,10,train,-0.4354088708719393,0.3585347300529923,0.9400750162579664,0.4010689394070918,-0.08963557253307367,-1.1133786912612729,0,0,0,0,0.010209258508627453,Normal
Beed,2007-11-01,2007,11,train,-0.12329700564141267,0.42454289329420325,0.7582439622552853,0.465269163269949,-0.08963557253307367,-0.9578174666921764,0,1,0,0,0.07955099565879582,Normal
Beed,2007-12-01,2007,12,train,1.5808402068618808,0.3742290204879494,0.8308596783494505,0.3415668883872352,-0.08963557253307367,-0.7183788590389695,0,2,0,0,0.3865802270857454,Normal
Beed,2008-01-01,2008,1,train,0.362069188114695,0.22400822551126065,0.5788688574399404,-0.07061245566449043,-0.5718307302774044,-0.550041009136769,0,0,0,0,-0.004589654002127981,Normal
Beed,2008-02-01,2008,2,train,-0.6626090826484669,0.15743215087738174,0.15997018481428912,-0.7465064313579775,-0.5718307302774044,-0.115919410168331,0,1,0,0,-0.29657721979341817,Normal
Beed,2008-03-01,2008,3,train,-2.7380913954300934,0.11601856682950251,-0.03712344001432484,-0.6178839486483485,-0.6616513969160538,0.3634778527927136,0,0,0,0,-0.5958756268977674,Wet
Beed,2008-04-01,2008,4,train,-2.3166977347464837,0.03149099125036271,0.13773465485322267,-0.4494828713360591,-0.6616513969160538,0.28368993535638753,0,1,0,0,-0.4958194035897705,Normal
Beed,2008-05-01,2008,5,train,-0.6781384239371783,0.05968248936278738,0.08488249690223508,-0.11050282157227276,-0.3683272650108901,0.7004214559343495,0,0,0,0,-0.0519970113868282,Normal
Beed,2008-06-01,2008,6,train,1.9789175516366353,0.407037128451232,0.2866778414601359,1.5816234786631338,-0.3683272650108901,0.2444184579217983,0,1,0,0,0.6883911988536742,Moderate Stress
Beed,2008-07-01,2008,7,train,2.065809147044685,1.5713247924798743,3.7111894296992496,1.7234509735952575,-0.3683272650108901,-0.431651372608939,0,2,0,0,1.3786326175332062,Moderate Stress
Beed,2008-08-01,2008,8,train,1.252408732092133,0.8677920298327194,3.0559299175416577,0.968614106387686,-0.3683272650108901,-0.5826188428954584,0,3,0,0,0.8656331129913079,Moderate Stress
Beed,2008-09-01,2008,9,train,-0.625669374508119,-0.23819424708609999,0.786203867871323,0.6440145564586711,-1.188644330753347,-0.7674485070574103,0,0,0,0,-0.23162300584583037,Normal
Beed,2008-10-01,2008,10,train,-0.5799792437185077,-0.06657049425239249,0.8735242236977562,0.515304182323628,-0.4610744195350095,-1.3681429457062688,0,0,0,0,-0.18115644953179907,Normal
Beed,2008-11-01,2008,11,train,-0.6163953713713565,0.12847995799648274,0.7607634848415069,0.1711504358388471,-0.4610744195350095,-1.3305970809438648,0,1,0,0,-0.22461216552889898,Normal
